,Events,,Content,,,Product,,,,,,,,Open Source,,,,,Community,,,,,Social,,,,To categorize somewhere:,,,,,,
Lead ID,"🎤 Run an Ops Event (for a given month, i.e. Community Call, Calendar) [10 pts]",🎙️ Gave a talk about us [10 pts],📚 Wrote blog post for MGD (for internal publication) [9 pts],✏️ Wrote a blog post about MGD (for external publication) [9 pts],💌 Follow MGD on Medium [1 pt],🆘 Successful support interaction [6 pts],🌱 Starting using new feature (Educational Call) [6 pts],🧙‍♂️ Start/Run a Committee  [9 pts],🗳 Vote on a Proposal [8 pts],Sponsor a Proposal [8 pts],Process a Proposal [8 pts],🙋‍♂️ Fill member feedback surveys [4 pts],Governance - Enter Movement Model Data [9 pts],📝Submit MGD Improvement Proposal (MIP) [8 pts],✍️ Contributed to our Documentation [7 pts],📋 Opened a Ticket on Notion [4 pts],⭐ Create Discourse Account [1 pt],📏 Created a Poll [7 pts],🏵 Attended Committee Call [7 pts],🤓 Answered forum question [6 pts],📞 Attended Dao-wide Call [6 pts],👐 Onboarding a new member [6 pts],👋 Joined the DAO [5 pts],🎳 Posted about us in external/private forum [5 pts],🗣 Tweeted about us [4 pts],🐦 Retweeted our tweet [2 pts],🐦 Followed us on twitter [1 pt],"Grants - promote & update grants criteria, outreach [9 pts]",Grants - review applications (as part of a team) [9 pts],"Grants - administration - followup, refinement, onboarding [10 pts]",Grants - accounting and payments [9 pts],"Treasury reports to the DAO (monthly or quarterly) - assets held, money in, money out in the period [10 pts]",Fundraising - close a grant (upon receipt) [10 pts],Fundraising - create and deliver a marketing/outreach campaign [10 pts]
0x3a8af31d3cfe775172853528167bb2b5760bf7b9,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
0x71610bc1acf75d39fcf962076d97be17cd7105ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x64d7c753190ba3f79a383ddaf8ae1869bcb43e84,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,
0x6dbfefc3f410adab65db9726fde0901071fd837f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xdc100a60577c7494ad9a9f65f4a305fe2c7a1180,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
0xe262e2a6c160c354c747e6f9a71ac5c76843ff0c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x954184ad0fbc67332bab62a6c5958c4c5e2cfec2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xb968749ddb25f0bc0b241c3b68e588455222b8d8,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
0xb7f4E738bb0B85aD1ECef26a2A733dc899dA500E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,
0x7013674db1086b85e31a847ecbeb3f06bac373df,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,
